CMDTYCODE,GDSDESC,GDSDESC (Brand / Product),Description for context / augmenting,Comments,Initials
18069031,Kinder Bueno Hazelnut-filled chocolate wafer bar,Kinder Bueno,Hazelnut-filled chocolate wafer bar,Could possibly also go to 190532. More info is needed for accurate code,LR
170490,Millions Mix - 500g Assorted popping candy sweets,Millions Mix - 500g,Assorted popping candy sweets,Can only go to 6 digits as additional information is needed,LR
190590,"Takis Chamoy Pickle Kit Spicy chips, mexican candy, with pickle",Takis Chamoy Pickle Kit,"Spicy chips, mexican candy, with pickle",Classified to the spicy tortilla chips. Can only go to 6 digits as additional information is needed. Code 170490 for the candy. Code 20019097 for the pickle,LR
21069098,Ribena cordial drink,Ribena,cordial drink,,LR
17019910,Silver Spoon Sugar Granulated sugar by Silver Spoon,Silver Spoon Sugar,Granulated sugar by Silver Spoon,White sugar,LR
09023000,"Twinings tea Black tea, Content not exceeding 3kg",Twinings,tea,"Black tea, Content not exceeding 3kg",LR
22029919,Dr Pepper soft drinks,Dr Pepper,soft drinks,Can only go to 6 digits as additional information is needed,LR
22029919,Irn Bru soft drinks,Irn Bru,soft drinks,Can only go to 6 digits as additional information is needed,LR
09023000,"Yorkshire Tea Black tea, Content not exceeding 3kg",Yorkshire Tea,,"Black tea, Content not exceeding 3kg",LR
85287280,"Panasonic TX-50MX800B, 50 Inch 4k Ultra HD LED Smart TV","Panasonic TX-50MX800B, 50 Inch 4k Ultra HD LED Smart TV",,,
85287280,Toshiba UF3D 65 Inch Smart Fire TV,Toshiba UF3D 65 Inch Smart Fire TV,,,
85287280,"rca roku tv 32"" Smart TV","rca roku tv 32"" Smart TV",,,
85287280,Hisense 50A6BGTUK 4K UHD Smart TV With Dolby Vision,Hisense 50A6BGTUK 4K UHD Smart TV With Dolby Vision,,,
85287280,"LG 43LQ60006LA (2023) LED HDR Full HD 1080p Smart TV, 43 inch","LG 43LQ60006LA (2023) LED HDR Full HD 1080p Smart TV, 43 inch",,,
85287280,Samsung UE50CU7100 (2023) LED HDR 4K Ultra HD Smart TV,Samsung UE50CU7100 (2023) LED HDR 4K Ultra HD Smart TV,,,
85287280,Bush 65 Inch Smart 4K UHD HDR LED Freeview TV,Bush 65 Inch Smart 4K UHD HDR LED Freeview TV,,,
85287280,"SONY BRAVIA XR-55A84LU 55"" Smart 4K Ultra HD HDR OLED TV with Google TV & Assistant","SONY BRAVIA XR-55A84LU 55"" Smart 4K Ultra HD HDR OLED TV with Google TV & Assistant",,,
48182010,Kleenex facial tissues,Kleenex,facial tissues,,LR
22029919,Coca-Cola Original soft drinks,Coca-Cola Original,soft drinks,Can only go to 6 digits as additional information is needed,ER
190531,Pop Tarts eggo frosted maple - twin Maple-flavored toaster pastries (sweet biscuits),Pop Tarts eggo frosted maple - twin,Maple-flavored toaster pastries,I have put this to sweet biscuits and then further information is needed ,ER
2005202000,Lay's wafer style sundried chilli Spicy wafer-style potato chips,Lay's wafer style sundried chilli,Spicy wafer-style potato chips,,ER
170490,Nerds rope tropical - 0.92OZ (26g) Chewy candy rope with Nerds,Nerds rope tropical - 0.92OZ (26g),Chewy candy rope with Nerds,Can only go to 6 digits as additional information is needed,ER
19053111,OREO red velvet family size Limited edition red velvet cookies,OREO red velvet family size (limite,Limited edition red velvet cookies,,ER
19059070,cadbury royal dark black forest cake Dark chocolate cherry cake treat,cadbury royal dark black forest cake,Dark chocolate cherry cake treat,,ER
3004490000,Vicks Over-the-counter cough and cold,Vicks,Over-the-counter cough and cold,"I believe this is the right code, but best to double check ",ER
,Got2b Powderful Vol (2 pack) Volumizing hair powder product,Got2b Powderful Vol (2 pack),Volumizing hair powder product,,ER
2005202000,Pringles Iconic stackable potato crisps,Pringles,Iconic stackable potato crisps,,ER
210610,grenade carb killa white choc prote High-protein snack bar,grenade carb killa white choc prote,High-protein snack bar,,ER
210610,grenade carb killa white choc protein bars High-protein snack bar,grenade carb killa white choc protein bars,High-protein snack bar,,ER
